pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair C,W_bank_nonGeo,Non-border,0.55,621,0.9999999512347525,0.0008763404362956013,-36863.99549125374,0.35410939564115335,12530.838462480053,2.3615692267375885,0.026600631402270092
Pair C,W_bank_nonGeo,Non-border,0.6000000000000001,621,0.9999999512347525,0.0008481010958728721,-36616.63109596652,0.31854833690633894,12041.670921192595,2.324069768369281,0.02744502313280171
Pair C,W_bank_nonGeo,Non-border,0.65,621,0.9999889704459578,0.0008042409854560415,-36396.66326315456,0.2870788759426701,11662.372645739102,2.277444301146127,0.028444067838405206
Pair C,W_bank_nonGeo,Non-border,0.7000000000000001,621,0.9989183536395291,0.0009518235473320223,-36215.377769312705,0.26006682969176975,11421.585461817143,2.221195469216717,0.02957558337411383
Pair C,W_bank_nonGeo,Non-border,0.75,621,0.9961751806255805,0.0013939048876267337,-36087.15014158713,0.23759407060087423,11312.643754060347,2.1560715747182,0.030792606167365896
Pair C,W_bank_nonGeo,Non-border,0.8,621,0.9852642237622209,0.0028957728725244256,-36026.7696033188,0.2215514893196284,11248.556471476373,2.0976103214075894,0.031778338086580885
Pair C,W_bank_nonGeo,Non-border,0.8500000000000001,621,0.9538769572178379,0.0041351412701075415,-36027.42548470369,0.2152194317147155,10718.480891100666,2.08511999779671,0.03186255882795207
Pair C,W_bank_nonGeo,Non-border,0.9,621,0.910788906486714,0.004219884083250958,-36058.51114667624,0.21516306605244923,9963.962788086003,2.111052472876673,0.03124050162688975
Pair C,W_bank_nonGeo,Non-border,0.9500000000000001,621,0.8665086556971675,0.00410759198592302,-36100.15577645507,0.21741743414963555,9506.914709025888,2.1494101291659957,0.030363609455165107
Pair C,W_bank_nonGeo,Non-border,1.0,621,0.8248261547446725,0.00395673369166182,-36145.57514960707,0.22036899851203998,9254.685420969829,2.188236654395337,0.0294475817883705
